Zeit t / s;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Spannung U_A / V;Rate R_A / 1/s
267,999;7;268;268;-3,4921875;26,9902349330012
268,999;5;269;269;-3,4921875;27,0031809747188
270;5;270;270;-3,4921875;33,3316260133787
271;8;271;271;-3,10416666666667;21,1027427012555
271,999;4;272;272;-2,71614583333333;21,9866387196501
272,999;8;273;273;-3,10416666666667;21,0360726573929
274;7;274;274;-3,4921875;21,0126412049489
274,999;6;275;275;-3,4921875;28,8422157743847
276;6;276;276;-3,4921875;25,5464127782712
277;7;277;277;-3,10416666666667;31,0437592830854
278;8;278;278;-3,10416666666667;19,982408819436
279;1;279;279;-3,10416666666667;22,9929411670617
279,999;2;280;280;-3,4921875;19,0257056308779
280,999;4;281;281;-3,4921875;19,9920051971217
281,999;8;282;282;-2,71614583333333;26,9720865875905
282,999;4;283;283;-3,10416666666667;20,0225794628603
284;1;284;284;-3,10416666666667;25,9843002857673
285;4;285;285;-3,4921875;22,9938284564423
285,999;6;286;286;-3,4921875;23,0297936440373
287;3;287;287;-3,4921875;28,9670933819181
287,999;6;288;288;-3,4921875;12,0084611617346
288,999;5;289;289;-3,4921875;31,9957989515977
289,999;11;290;290;-3,4921875;28,8733806753128
290,999;4;291;291;-3,4921875;21,0325752525512
291,999;7;292;292;-2,71614583333333;23,9863397794956
292,999;6;293;293;-3,4921875;33,3077788652151
293,998;5;294;294;-3,4921875;29,997793495634
295;4;295;295;-3,10416666666667;32,0171515881057
295,999;7;296;296;-3,4921875;24,0059654824224
297;5;297;297;-2,71614583333333;30,0014670717398
297,999;5;298;298;-3,4921875;23,9311476949668
299;9;299;299;-3,4921875;21,0101857380458
299,999;1;300;300;-3,4921875;30,0401215863908
;2;301;301;;
;6;302;302;;
;3;303;303;;
;5;304;304;;
;3;305;305;;
;5;306;306;;
;2;307;307;;
;5;308;308;;
;3;309;309;;
;4;310;310;;
;3;311;311;;
;0;312;312;;
;7;313;313;;
;6;314;314;;
;7;315;315;;
;2;316;316;;
;6;317;317;;
;7;318;318;;
;1;319;319;;
;2;320;320;;
;8;321;321;;
;1;322;322;;
;2;323;323;;
;8;324;324;;
;1;325;325;;
;2;326;326;;
;2;327;327;;
;4;328;328;;
;5;329;329;;
;2;330;330;;
;1;331;331;;
;4;332;332;;
;4;333;333;;
;2;334;334;;
;10;335;335;;
;4;336;336;;
;2;337;337;;
;3;338;338;;
;4;339;339;;
;6;340;340;;
;4;341;341;;
;2;342;342;;
;4;343;343;;
;2;344;344;;
;3;345;345;;
;6;346;346;;
;6;347;347;;
;4;348;348;;
;4;349;349;;
;4;350;350;;
;3;351;351;;
;3;352;352;;
;1;353;353;;
;2;354;354;;
;3;355;355;;
;2;356;356;;
;2;357;357;;
;2;358;358;;
;0;359;359;;
;5;360;360;;
;1;361;361;;
;4;362;362;;
;3;363;363;;
;8;364;364;;
;4;365;365;;
;0;366;366;;
;3;367;367;;
;4;368;368;;
;3;369;369;;
;7;370;370;;
;4;371;371;;
;2;372;372;;
;3;373;373;;
;0;374;374;;
;3;375;375;;
;1;376;376;;
;5;377;377;;
;1;378;378;;
;4;379;379;;
;5;380;380;;
;5;381;381;;
;6;382;382;;
;6;383;383;;
;7;384;384;;
;3;385;385;;
;2;386;386;;
;6;387;387;;
;7;388;388;;
;6;389;389;;
;8;390;390;;
;7;391;391;;
;11;392;392;;
;4;393;393;;
;10;394;394;;
;3;395;395;;
;3;396;396;;
;1;397;397;;
;4;398;398;;
;4;399;399;;
;5;400;400;;
;2;401;401;;
;6;402;402;;
;4;403;403;;
;4;404;404;;
;9;405;405;;
;8;406;406;;
;11;407;407;;
;2;408;408;;
;1;409;409;;
;4;410;410;;
;2;411;411;;
;3;412;412;;
;8;413;413;;
;3;414;414;;
;0;415;415;;
;3;416;416;;
;2;417;417;;
;2;418;418;;
;2;419;419;;
;2;420;420;;
;6;421;421;;
;1;422;422;;
;1;423;423;;
;4;424;424;;
;3;425;425;;
;4;426;426;;
;1;427;427;;
;0;428;428;;
;5;429;429;;
;1;430;430;;
;0;431;431;;
;3;432;432;;
;2;433;433;;
;1;434;434;;
;1;435;435;;
;2;436;436;;
;3;437;437;;
;1;438;438;;
;2;439;439;;
;2;440;440;;
;2;441;441;;
;1;442;442;;
;1;443;443;;
;1;444;444;;
;2;445;445;;
;5;446;446;;
;1;447;447;;
;2;448;448;;
;1;449;449;;
;4;450;450;;
;1;451;451;;
;3;452;452;;
;1;453;453;;
;2;454;454;;
;2;455;455;;
;0;456;456;;
;1;457;457;;
;1;458;458;;
;1;459;459;;
;1;460;460;;
;2;461;461;;
;0;462;462;;
;2;463;463;;
;0;464;464;;
;3;465;465;;
;2;466;466;;
;0;467;467;;
;1;468;468;;
;3;469;469;;
;5;470;470;;
;2;471;471;;
;1;472;472;;
;0;473;473;;
;4;474;474;;
;0;475;475;;
;2;476;476;;
;3;477;477;;
;1;478;478;;
;1;479;479;;
;2;480;480;;
;4;481;481;;
;1;482;482;;
;1;483;483;;
;2;484;484;;
;4;485;485;;
;0;486;486;;
;2;487;487;;
;2;488;488;;
;1;489;489;;
;2;490;490;;
;2;491;491;;
;1;492;492;;
;3;493;493;;
;1;494;494;;
;0;495;495;;
;0;496;496;;
;3;497;497;;
;2;498;498;;
;0;499;499;;
;0;500;500;;
;3;501;501;;
;0;502;502;;
;4;503;503;;
;0;504;504;;
;3;505;505;;
;3;506;506;;
;2;507;507;;
;2;508;508;;
;1;509;509;;
;0;510;510;;
;4;511;511;;
;2;512;512;;
;3;513;513;;
;1;514;514;;
;2;515;515;;
;0;516;516;;
;2;517;517;;
;2;518;518;;
;0;519;519;;
;3;520;520;;
;1;521;521;;
;2;522;522;;
;2;523;523;;
;0;524;524;;
;1;525;525;;
;3;526;526;;
;1;527;527;;
;1;528;528;;
;0;529;529;;
;3;530;530;;
;0;531;531;;
;3;532;532;;
;1;533;533;;
;0;534;534;;
;2;535;535;;
;1;536;536;;
;1;537;537;;
;2;538;538;;
;0;539;539;;
;3;540;540;;
;1;541;541;;
;0;542;542;;
;0;543;543;;
;4;544;544;;
;1;545;545;;
;1;546;546;;
;0;547;547;;
;1;548;548;;
;1;549;549;;
;1;550;550;;
;2;551;551;;
;2;552;552;;
;1;553;553;;
;0;554;554;;
;1;555;555;;
;1;556;556;;
;4;557;557;;
;3;558;558;;
;1;559;559;;
;1;560;560;;
;3;561;561;;
;2;562;562;;
;1;563;563;;
;1;564;564;;
;1;565;565;;
;0;566;566;;
;2;567;567;;
;0;568;568;;
;1;569;569;;
;1;570;570;;
;0;571;571;;
;0;572;572;;
;2;573;573;;
;5;574;574;;
;1;575;575;;
;1;576;576;;
;0;577;577;;
;2;578;578;;
;0;579;579;;
;1;580;580;;
;3;581;581;;
;0;582;582;;
;0;583;583;;
;1;584;584;;
;0;585;585;;
;2;586;586;;
;2;587;587;;
;2;588;588;;
;0;589;589;;
;0;590;590;;
;3;591;591;;
;3;592;592;;
;0;593;593;;
;2;594;594;;
;0;595;595;;
;0;596;596;;
;1;597;597;;
;0;598;598;;
;0;599;599;;
;0;600;600;;
;1;601;601;;
;2;602;602;;
;1;603;603;;
;1;604;604;;
;1;605;605;;
;0;606;606;;
;0;607;607;;
;0;608;608;;
;2;609;609;;
;0;610;610;;
;0;611;611;;
;3;612;612;;
;1;613;613;;
;2;614;614;;
;0;615;615;;
;3;616;616;;
;0;617;617;;
;2;618;618;;
;1;619;619;;
;2;620;620;;
;1;621;621;;
;0;622;622;;
;3;623;623;;
;1;624;624;;
;1;625;625;;
;2;626;626;;
;1;627;627;;
;0;628;628;;
;0;629;629;;
;3;630;630;;
;3;631;631;;
;1;632;632;;
;4;633;633;;
;3;634;634;;
;0;635;635;;
;1;636;636;;
;1;637;637;;
;0;638;638;;
