Zeit t / s;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s;Spannung U_A / V
132;159;132;132;207,518287687818;-3,10416666666667
132,999;182;133;133;231,364908734055;-3,4921875
133,999;180;134;134;232,178959542761;-2,71614583333333
135;161;135;135;242,094423266118;-3,4921875
136;158;136;136;205,314972033881;-3,4921875
136,999;145;137;137;193,865573611258;-3,4921875
138;137;138;138;216,377275417418;-3,4921875
139;150;139;139;220,890809343925;-3,4921875
140;144;140;140;212,299214512935;-3,4921875
140,999;137;141;141;218,041297021656;-3,4921875
141,999;148;142;142;217,741801993382;-3,4921875
142,999;118;143;143;206,495436062296;-3,4921875
143,999;137;144;144;218,946927264831;-3,4921875
144,999;158;145;145;232,108746834881;-3,10416666666667
145,999;160;146;146;196,013348509033;-3,4921875
147;156;147;147;208,39758090485;-3,4921875
147,999;134;148;148;216,143814778717;-3,10416666666667
148,999;148;149;149;202,192608679028;-3,4921875
149,999;172;150;150;213,304442431631;-2,71614583333333
151;164;151;151;227,404606817989;-3,4921875
152;182;152;152;195,547972639728;-3,4921875
152,999;164;153;153;218,014279935336;-3,4921875
153,999;140;154;154;209,046345574814;-3,4921875
154,999;153;155;155;206,261993984759;-3,10416666666667
156;146;156;156;217,736915816576;-3,10416666666667
156,999;134;157;157;216,263071716384;-3,10416666666667
157,999;172;158;158;220,941141279963;-3,10416666666667
159;136;159;159;223,263129482618;-3,10416666666667
159,999;145;160;160;197,22927903688;-3,4921875
161;142;161;161;207,052570647687;-3,4921875
162;131;162;162;220,093605810551;-3,4921875
163;141;163;163;263,027052942796;-3,10416666666667
164;107;164;164;221,232603959803;-3,4921875
164,999;116;165;165;188,205973059754;-3,4921875
166;121;166;166;210,402120532762;-3,4921875
167;108;167;167;184,048570417733;-3,4921875
167,999;103;168;168;227,735646683141;-3,4921875
168,999;119;169;169;229,246853011323;-3,4921875
170;103;170;170;205,347903192561;-3,10416666666667
170,998;131;171;171;201,333408123853;-3,4921875
171,999;111;172;172;218,871452129869;-3,4921875
172,999;115;173;173;215,921210350343;-3,4921875
173,999;119;174;174;218,016133193856;-3,10416666666667
174,999;110;175;175;221,930868534452;-3,4921875
176;120;176;176;209,461683473473;-3,4921875
176,999;123;177;177;205,755369111081;-3,4921875
178;127;178;178;195,776697099289;-3,4921875
179;142;179;179;216,135733240475;-2,71614583333333
180;157;180;180;211,863559867445;-3,4921875
180,999;146;181;181;210,160078932123;-3,10416666666667
181,998;150;182;182;213,063066667734;-3,10416666666667
182,999;173;183;183;193,959850310986;-3,4921875
183,999;124;184;184;215,938543890409;-3,4921875
184,999;141;185;185;190,171039833226;-3,4921875
185,999;156;186;186;206,088329458006;-3,4921875
186,999;171;187;187;213,208629974646;-3,10416666666667
187,999;140;188;188;201,986750557017;-3,10416666666667
189;172;189;189;210,174676173368;-3,4921875
189,999;160;190;190;206,987228887978;-3,4921875
190,998;154;191;191;193,329767473178;-3,4921875
191,999;156;192;192;204,294333508057;-3,4921875
192,999;143;193;193;219,958405865451;-2,71614583333333
194;137;194;194;224,288524758249;-3,4921875
195;134;195;195;201,059371832759;-3,4921875
195,999;113;196;196;200,967397092479;-3,10416666666667
196,999;104;197;197;226,161366134737;-3,4921875
198;120;198;198;211,03312264823;-3,10416666666667
199;91;199;199;210,115416398228;-3,10416666666667
200;95;200;200;199,883467938192;-3,4921875
200,998;85;201;201;209,875963305686;-3,4921875
201,999;90;202;202;225,349335874415;-3,10416666666667
202,998;99;203;203;234,197428432168;-2,328125
203,999;71;204;204;196,441675467698;-3,10416666666667
205,001;88;205;205;221,051770991254;-3,4921875
205,999;102;206;206;207,765658114388;-3,4921875
206,999;107;207;207;200,65896003153;-3,4921875
207,998;121;208;208;189,602747133136;-3,4921875
208,999;97;209;209;213,299347637276;-3,4921875
209,999;120;210;210;206,617904841124;-2,71614583333333
210,999;131;211;211;191,958769475493;-3,10416666666667
211,999;145;212;212;214,201649432776;-3,4921875
212,999;158;213;213;218,938500175301;-3,10416666666667
213,999;164;214;214;207,971736640991;-3,4921875
214,999;178;215;215;205,002583032546;-3,4921875
216;172;216;216;206,124189824369;-3,4921875
216,999;168;217;217;194,264318251577;-3,10416666666667
217,999;181;218;218;229,233589027219;-3,4921875
218,999;178;219;219;193,160068751663;-3,10416666666667
219,999;200;220;220;209,326989690596;-3,4921875
220,999;167;221;221;188,610457939535;-3,10416666666667
221,999;184;222;222;195,435080685817;-2,71614583333333
222,999;164;223;223;212,130652490564;-3,4921875
224;179;224;224;199,990111600038;-3,4921875
225;146;225;225;195,53254789242;-3,4921875
225,999;150;226;226;213,187135667689;-3,10416666666667
226,999;137;227;227;212,84579322281;-2,71614583333333
227,999;137;228;228;200,005240137292;-3,4921875
228,998;144;229;229;221,189493038686;-3,4921875
230,002;107;230;230;235,545741149674;-3,4921875
231;109;231;231;223,063154283906;-3,4921875
232;128;232;232;206,353214797769;-3,4921875
232,999;101;233;233;223,945543539116;-3,4921875
233,999;82;234;234;208,186410111614;-3,4921875
234,999;78;235;235;211,05318873598;-3,4921875
235,999;79;236;236;194,833397961403;-3,10416666666667
236,999;77;237;237;213,006198480376;-3,4921875
237,999;80;238;238;195,01047206235;-3,10416666666667
238,999;64;239;239;206,167428568741;-2,71614583333333
240;57;240;240;231,950640903616;-3,10416666666667
240,999;71;241;241;241,205627797698;-2,71614583333333
242;57;242;242;187,604160549642;-3,10416666666667
242,999;57;243;243;186,173103751868;-3,4921875
244,001;58;244;244;218,506405565192;-3,4921875
244,999;52;245;245;215,676772143308;-2,71614583333333
245,999;52;246;246;184,311576277013;-3,4921875
246,999;57;247;247;202,116201046096;-3,4921875
248;56;248;248;203,259460701586;-3,10416666666667
