Zeit t / s;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s;Spannung U_A / V
127,999;380;128;128;639,133514991282;-3,4921875
128,999;381;129;129;623,993385670112;-3,4921875
129,999;409;130;130;616,479120018821;-3,4921875
130,999;394;131;131;645,036122022833;-3,4921875
131,998;394;132;132;624,236365655893;-3,4921875
132,999;466;133;133;585,131479043341;-3,4921875
133,999;429;134;134;641,054040855644;-3,4921875
134,999;433;135;135;604,410866062997;-2,71614583333333
135,999;493;136;136;656,59520355202;-3,10416666666667
136,999;471;137;137;645,971386131394;-3,4921875
137,999;510;138;138;649,036930201328;-2,328125
138,999;509;139;139;596,552062387126;-3,4921875
139,998;466;140;140;611,612958507016;-3,10416666666667
140,999;470;141;141;604,553675769544;-3,4921875
141,999;506;142;142;612,522788199729;-3,4921875
142,999;505;143;143;614,083227044003;-3,4921875
143,999;490;144;144;608,169557672679;-3,4921875
145;528;145;145;609,974198091421;-3,4921875
145,999;488;146;146;599,650736759767;-3,10416666666667
146,999;485;147;147;650,266869523252;-3,4921875
147,999;466;148;148;587,044791517593;-3,10416666666667
148,999;460;149;149;650,507584629816;-3,4921875
149,999;421;150;150;647,612122978639;-3,4921875
150,999;443;151;151;615,176186459802;-3,10416666666667
151,998;415;152;152;598,664655716176;-3,4921875
152,999;410;153;153;603,184634816717;-3,4921875
153,998;430;154;154;617,543450127321;-3,4921875
154,998;390;155;155;566,365929026744;-3,10416666666667
155,999;375;156;156;602,081100324214;-3,10416666666667
156,998;402;157;157;634,009584315114;-3,4921875
157,998;375;158;158;621,694886803793;-3,10416666666667
158,999;329;159;159;609,271186605158;-3,4921875
159,999;379;160;160;601,952385566302;-3,4921875
160,998;351;161;161;634,302245019752;-3,4921875
161,998;331;162;162;635,931529818197;-3,10416666666667
162,999;336;163;163;619,37013559303;-3,4921875
163,998;345;164;164;619,97409885987;-3,4921875
164,999;356;165;165;593,22643453006;-3,4921875
165,999;311;166;166;617,485569884207;-3,4921875
166,999;290;167;167;677,578042828042;-3,10416666666667
