Zeit t / s;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Spannung U_A / V;Rate R_A / 1/s
128,998;167;129;129;-3,4921875;188,846419427453
129,999;178;130;130;-3,4921875;179,918177211186
130,999;188;131;131;-3,4921875;183,156672217415
131,999;189;132;132;-3,4921875;198,784482861057
132,999;213;133;133;-3,4921875;182,205297374599
133,999;207;134;134;-3,4921875;202,196520797801
134,998;203;135;135;-3,4921875;180,990229747665
135,999;191;136;136;-3,4921875;185,068993720859
136,999;173;137;137;-3,10416666666667;173,065678424962
137,999;169;138;138;-3,4921875;210,943319530042
138,999;183;139;139;-3,10416666666667;199,220716631957
139,999;174;140;140;-3,10416666666667;208,710904867238
140,999;188;141;141;-3,4921875;216,656604171051
141,999;173;142;142;-3,4921875;189,881836533125
142,999;184;143;143;-3,4921875;211,106748238314
143,998;203;144;144;-3,4921875;159,229035044007
144,999;159;145;145;-3,4921875;185,225401567561
145,999;173;146;146;-3,4921875;179,170857329549
146,998;160;147;147;-3,10416666666667;184,05486675578
147,999;170;148;148;-3,4921875;178,851687737839
148,999;164;149;149;-3,4921875;191,476845413438
149,998;174;150;150;-3,4921875;185,631946836616
150,999;171;151;151;-3,4921875;181,105557207357
151,999;173;152;152;-3,10416666666667;162,124527849841
152,998;180;153;153;-3,4921875;170,942523795421
153,999;164;154;154;-3,4921875;168,835611873587
154,999;141;155;155;-3,4921875;159,118145222828
155,999;168;156;156;-3,4921875;204,327795976031
156,998;138;157;157;-3,4921875;173,208373114818
157,999;120;158;158;-3,4921875;191,096044872153
158,999;146;159;159;-3,4921875;210,041294118424
159,999;150;160;160;-3,4921875;180,973487384098
160,998;139;161;161;-3,4921875;178,139821946246
161,998;108;162;162;-3,10416666666667;197,741019919297
162,998;127;163;163;-3,4921875;213,812400999363
163,999;134;164;164;-3,10416666666667;193,09521525064
164,999;128;165;165;-3,4921875;199,981423947731
165,999;124;166;166;-3,4921875;173,883706577041
166,998;131;167;167;-3,4921875;181,159619740954
167,999;145;168;168;-3,4921875;193,799146564501
168,998;128;169;169;-3,4921875;161,202518724273
169,999;124;170;170;-3,4921875;162,071639661017
170,999;132;171;171;-3,10416666666667;189,047337453298
171,999;132;172;172;-3,4921875;182,126887802732
172,998;143;173;173;-3,4921875;194,371641466291
173,999;117;174;174;-3,4921875;192,058289690921
174,998;132;175;175;-3,4921875;190,986142511861
175,999;115;176;176;-3,4921875;187,702404834325
176,999;123;177;177;-3,10416666666667;191,976367709135
177,999;129;178;178;-3,4921875;185,058108245989
178,998;138;179;179;-3,4921875;181,884830525311
179,999;132;180;180;-3,10416666666667;184,13432599081
180,999;125;181;181;-3,4921875;192,188589219109
181,999;123;182;182;-3,10416666666667;175,18771363516
182,999;141;183;183;-3,4921875;193,25656753012
183,999;121;184;184;-3,4921875;188,095721912881
184,999;129;185;185;-3,10416666666667;185,551865135127
185,999;116;186;186;-3,4921875;200,945331212861
186,999;120;187;187;-3,4921875;177,128949875509
187,999;132;188;188;-3,4921875;172,121569353388
188,999;123;189;189;-3,4921875;171,99305148072
189,998;120;190;190;-3,10416666666667;200,938594164765
190,999;109;191;191;-3,4921875;192,279401197881
191,999;127;192;192;-3,4921875;172,026437022842
192,998;112;193;193;-3,4921875;173,006349333021
194;112;194;194;-3,4921875;174,429443512302
194,999;108;195;195;-3,4921875;167,206366097037
195,999;123;196;196;-3,4921875;192,06581662555
196,998;113;197;197;-3,4921875;189,13142742892
197,999;125;198;198;-3,10416666666667;173,090833076194
198,999;106;199;199;-3,4921875;216,231605672836
199,998;105;200;200;-3,4921875;201,056356763286
200,999;128;201;201;-3,4921875;199,112179802101
201,999;106;202;202;-3,4921875;164,358886512965
202,998;122;203;203;-3,4921875;182,869175391925
203,999;107;204;204;-3,4921875;185,984842235358
204,999;105;205;205;-3,4921875;210,154295283597
205,999;85;206;206;-3,10416666666667;197,832673125071
206,999;91;207;207;-3,4921875;207,169630493448
207,999;72;208;208;-3,4921875;194,187351957168
208,999;85;209;209;-3,4921875;187,599454074488
209,998;79;210;210;-3,4921875;203,786492891398
210,998;84;211;211;-3,10416666666667;169,225577695068
211,999;85;212;212;-3,4921875;205,742677633084
212,999;98;213;213;-3,4921875;170,189608242543
213,999;79;214;214;-2,71614583333333;184,808870665957
214,998;72;215;215;-3,10416666666667;189,065681417725
215,998;56;216;216;-3,4921875;177,214961748601
216,998;53;217;217;-3,4921875;202,149852575
217,998;50;218;218;-3,4921875;181,106663936363
218,998;51;219;219;-3,10416666666667;170,961926778906
219,998;60;220;220;-3,4921875;193,184195134689
220,999;58;221;221;-3,10416666666667;179,944357205988
221,999;49;222;222;-3,4921875;221,109382811677
222,999;46;223;223;-3,4921875;198,969239355596
223,999;52;224;224;-3,10416666666667;188,115145280426
224,999;46;225;225;-3,4921875;180,887433749977
225,998;58;226;226;-3,4921875;200,083674992882
226,999;50;227;227;-3,4921875;166,949330878079
227,999;58;228;228;-3,4921875;182,178133779209
228,998;44;229;229;-3,4921875;197,919506136854
229,999;53;230;230;-3,10416666666667;189,028467687234
230,999;34;231;231;-3,4921875;169,151999987189
231,999;53;232;232;-3,10416666666667;210,984356398328
232,998;43;233;233;-3,4921875;184,202238967118
233,999;48;234;234;-3,10416666666667;184,14967685735
234,998;42;235;235;-3,10416666666667;196,618276724117
235,999;56;236;236;-3,10416666666667;183,200164499732
236,999;39;237;237;-3,4921875;196,932196244833
237,998;40;238;238;-3,4921875;184,442190151009
238,999;40;239;239;-3,4921875;183,021468418245
239,999;34;240;240;-3,4921875;179,949274299012
240,999;49;241;241;-3,4921875;180,912167142852
241,998;51;242;242;-3,4921875;195,049074347106
242,998;37;243;243;-3,4921875;216,631331689453
243,998;34;244;244;-3,4921875;165,486271969691
244,998;40;245;245;-3,4921875;208,798340008772
245,999;47;246;246;-2,71614583333333;185,125144597748
246,999;38;247;247;-3,4921875;189,056338788959
